,PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Longitude,Latitude,Sale_Price
16,527225035,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,152,12134,Pave,No_Alley_Access,Slightly_Irregular,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,OneFam,One_and_Half_Fin,Very_Good,Good,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Good,Typical,Wood,Good,Typical,Av,GLQ,3,Unf,0,132,559,GasA,Good,Y,SBrkr,1080,672,0,1752,0,0,2,0,4,1,Typical,8,Typ,0,No_Fireplace,Basment,1988.0,RFn,2,492,Typical,Typical,Paved,325,12,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.6235954,42.060351399999995,164000
18,527276150,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,140,19138,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Below_Average,Average,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,CBlock,Typical,Typical,No,LwQ,4,Unf,0,744,864,GasA,Excellent,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,Typical,4,Typ,0,No_Fireplace,Detchd,1951.0,Unf,2,400,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.62297099999999,42.056672999999996,141000
20,527358140,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,105,11751,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480,Typical,Typical,CBlock,Good,Typical,No,BLQ,2,Unf,0,1139,1844,GasA,Excellent,Y,SBrkr,1844,0,0,1844,0,0,2,0,3,1,Typical,7,Typ,1,Typical,Attchd,1977.0,RFn,2,546,Typical,Typical,Paved,0,122,0,0,0,0,No_Pool,Minimum_Privacy,None,0,1,2010,COD,Normal,-93.633962,42.050346000000005,190000
21,527358200,Split_Foyer,Residential_Low_Density,85,10625,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,SFoyer,Good,Above_Average,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81,Typical,Typical,CBlock,Good,Typical,Gd,GLQ,3,LwQ,168,0,1053,GasA,Typical,Y,SBrkr,1173,0,0,1173,1,0,2,0,3,1,Good,6,Typ,2,Typical,Attchd,1974.0,RFn,2,528,Typical,Typical,Paved,0,120,0,0,0,0,No_Pool,Minimum_Privacy,None,0,1,2010,WD ,Family,-93.636372,42.050270000000005,170000
22,527368020,Two_Story_1946_and_Newer,Floating_Village_Residential,0,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Good,Average,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,281,814,GasA,Excellent,Y,SBrkr,814,860,0,1674,1,0,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,2000.0,RFn,2,663,Typical,Typical,Paved,0,96,0,0,0,0,No_Pool,No_Fence,None,0,1,2010,WD ,Normal,-93.63936600000001,42.049296999999996,216000
23,527402200,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,11241,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Good,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,426,1004,GasA,Excellent,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,Typical,5,Typ,1,Typical,Attchd,1970.0,Fin,2,480,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,Shed,700,3,2010,WD ,Normal,-93.626231,42.055147,149000
24,527402250,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,12537,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,CBlock,Typical,Typical,No,GLQ,3,Unf,0,344,1078,GasA,Excellent,Y,SBrkr,1078,0,0,1078,1,0,1,1,3,1,Typical,6,Typ,1,Fair,Attchd,1971.0,Fin,2,500,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,-93.626537,42.054592,149900
25,527403020,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65,8450,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,CBlock,Typical,Typical,No,BLQ,2,Unf,0,281,1056,GasA,Excellent,Y,SBrkr,1056,0,0,1056,1,0,1,0,3,1,Typical,6,Typ,1,Fair,Attchd,1968.0,Unf,1,304,Typical,Typical,Paved,0,85,184,0,0,0,No_Pool,No_Fence,None,0,7,2010,WD ,Normal,-93.62880600000001,42.055227,142000
27,527425090,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,10500,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Below_Average,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,432,864,GasA,Typical,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,Typical,5,Typ,1,Poor,No_Garage,,No_Garage,0,0,No_Garage,No_Garage,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,ConLI,Normal,-93.62276899999999,42.056375,115000
28,527427230,One_Story_PUD_1946_and_Newer,Residential_High_Density,26,5858,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR2,Gtl,North_Ames,Norm,Norm,TwnhsE,One_Story,Good,Average,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,BLQ,0,354,1405,GasA,Excellent,Y,SBrkr,1337,0,0,1337,1,0,2,0,2,1,Good,5,Typ,1,Fair,Attchd,1999.0,Fin,2,511,Typical,Typical,Paved,203,68,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.62437299999999,42.055318,184000
29,527451180,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Above_Average,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,327,483,GasA,Typical,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,Typical,5,Typ,0,No_Fireplace,Detchd,1971.0,Unf,1,264,Typical,Typical,Paved,275,0,0,0,0,0,No_Pool,No_Fence,None,0,2,2010,COD,Normal,-93.627271,42.051835,96000
30,527451330,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Average,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,225,525,GasA,Typical,Y,SBrkr,525,567,0,1092,0,0,1,1,3,1,Typical,6,Typ,0,No_Fireplace,Detchd,1997.0,Unf,1,320,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,-93.62753599999999,42.051684,105500
31,527451410,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Above_Average,Average,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381,Typical,Typical,CBlock,Typical,Typical,No,Unf,7,Unf,0,525,525,GasA,Typical,Y,SBrkr,525,567,0,1092,0,0,1,1,3,1,Typical,6,Typ,0,No_Fireplace,Detchd,1971.0,Unf,1,264,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Family,-93.62728,42.051685,88000
32,527452190,One_Story_PUD_1946_and_Newer,Residential_Low_Density,53,4043,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northpark_Villa,Norm,Norm,TwnhsE,One_Story,Above_Average,Average,1977,1977,Gable,CompShg,Plywood,Plywood,None,0,Typical,Typical,CBlock,Good,Typical,No,ALQ,1,Unf,0,709,1069,GasA,Typical,Y,SBrkr,1069,0,0,1069,0,0,2,0,2,1,Typical,4,Typ,1,Fair,Attchd,1977.0,RFn,2,440,Typical,Typical,Paved,0,55,0,0,165,0,No_Pool,No_Fence,None,0,7,2010,WD ,Normal,-93.62723199999999,42.049671999999994,127500
33,527453130,Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Northpark_Villa,Norm,Norm,Twnhs,Two_Story,Above_Average,Above_Average,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,341,855,GasA,Typical,Y,SBrkr,855,601,0,1456,0,0,2,1,3,1,Good,6,Typ,1,Typical,Attchd,1975.0,Unf,2,440,Typical,Typical,Paved,173,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.625924,42.050683,149900
36,528108120,Two_Story_1946_and_Newer,Residential_Low_Density,102,12858,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,Two_Story,Excellent,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162,Excellent,Typical,PConc,Excellent,Typical,No,Unf,7,Unf,0,1590,1590,GasA,Excellent,Y,SBrkr,1627,707,0,2334,0,0,2,1,3,1,Excellent,10,Typ,1,Good,Attchd,2009.0,Fin,3,751,Typical,Typical,Paved,144,133,0,0,0,0,No_Pool,No_Fence,None,0,1,2010,New,Partial,-93.653201,42.062352000000004,376162
39,528120090,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,94,12883,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Very_Good,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256,Good,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,1544,1544,GasA,Excellent,Y,SBrkr,1544,0,0,1544,0,0,2,0,3,1,Good,7,Typ,0,No_Fireplace,Attchd,2009.0,RFn,3,868,Typical,Typical,Paved,0,35,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,New,Partial,-93.6528306,42.0612885,290941
40,528120100,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,95,12182,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Good,Average,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226,Good,Typical,PConc,Good,Typical,Mn,BLQ,2,Unf,0,340,1541,GasA,Excellent,Y,SBrkr,1541,0,0,1541,0,0,2,0,3,1,Good,7,Typ,1,Good,Attchd,2005.0,RFn,2,532,Typical,Typical,Paved,0,70,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,New,Partial,-93.652713,42.060871999999996,220000
42,528138020,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,79,14122,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Very_Good,Average,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240,Good,Typical,PConc,Excellent,Typical,No,GLQ,3,Unf,0,1794,1822,GasA,Excellent,Y,SBrkr,1822,0,0,1822,0,0,2,0,3,1,Excellent,8,Typ,1,Good,Attchd,2005.0,RFn,3,678,Typical,Typical,Paved,0,119,0,0,0,0,No_Pool,No_Fence,None,0,2,2010,WD ,Normal,-93.652336,42.060879,259000
43,528138060,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,10171,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Good,Average,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,1515,1517,GasA,Excellent,Y,SBrkr,1535,0,0,1535,0,0,2,0,3,1,Good,7,Typ,0,No_Fireplace,Attchd,2004.0,RFn,2,532,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,-93.652307,42.060297999999996,214000
44,528150070,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,100,12919,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Excellent,Average,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760,Excellent,Typical,PConc,Excellent,Typical,Gd,GLQ,3,Unf,0,142,2330,GasA,Excellent,Y,SBrkr,2364,0,0,2364,1,0,2,1,2,1,Excellent,11,Typ,2,Good,Attchd,2009.0,Fin,3,820,Typical,Typical,Paved,0,67,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,New,Partial,-93.655051,42.059616999999996,611657
46,528176010,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,110,14300,Pave,No_Alley_Access,Regular,HLS,AllPub,Inside,Mod,Northridge_Heights,Norm,Norm,OneFam,One_Story,Excellent,Average,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095,Excellent,Typical,PConc,Excellent,Typical,Gd,GLQ,3,Unf,0,1473,2846,GasA,Excellent,Y,SBrkr,2696,0,0,2696,1,0,2,1,3,1,Excellent,10,Typ,2,Good,Attchd,2003.0,Fin,3,958,Typical,Typical,Paved,220,150,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.65606700000001,42.058599,500000
51,528218150,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,100,18494,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Above_Average,Average,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,1324,1324,GasA,Excellent,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,2005.0,Fin,2,430,Typical,Typical,Paved,36,23,0,0,0,0,No_Pool,No_Fence,None,0,1,2010,WD ,Normal,-93.644356,42.061928,199500
52,528228285,One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,3203,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Bloomington_Heights,Norm,Norm,TwnhsE,One_Story,Good,Average,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,1129,1145,GasA,Excellent,Y,SBrkr,1145,0,0,1145,0,0,2,0,2,1,Good,6,Typ,0,No_Fireplace,Attchd,2006.0,Fin,2,437,Typical,Typical,Paved,100,116,0,0,0,0,No_Pool,No_Fence,None,0,1,2010,WD ,Normal,-93.641635,42.06257,160000
53,528228440,One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,3182,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Bloomington_Heights,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,1232,1256,GasA,Excellent,Y,SBrkr,1269,0,0,1269,0,0,2,0,2,1,Good,6,Typ,1,Typical,Attchd,2004.0,Fin,2,430,Typical,Typical,Paved,146,20,0,0,144,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,-93.642252,42.062303,192000
54,528231020,Split_or_Multilevel,Residential_Low_Density,67,13300,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,SLvl,Good,Average,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,58,384,GasA,Excellent,Y,SBrkr,744,630,0,1374,1,0,2,1,3,1,Good,7,Typ,1,Good,BuiltIn,2004.0,Fin,2,400,Typical,Typical,Paved,100,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.644076,42.061443,184500
55,528240070,Two_Story_1946_and_Newer,Residential_Low_Density,0,7851,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,Average,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,235,860,GasA,Excellent,Y,SBrkr,860,1100,0,1960,1,0,2,1,4,1,Good,8,Typ,2,Typical,BuiltIn,2002.0,Fin,2,440,Typical,Typical,Paved,288,48,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.641487,42.060977,216500
